time, open,close,fluctuation
1511416800,381.84,380.05,
1511420400,380.05,386.7,
1511424000,386.7,391.36,
1511427600,391.36,397.08,
1511431200,397.08,398.89,
1511434800,398.89,393.08,
1511438400,393.08,396.11,
1511442000,396.11,411.66,
1511445600,411.66,411.81,
1511449200,411.81,411.8,
1511452800,411.8,422.35,
1511456400,422.35,420.45,
1511460000,420.45,419.32,
1511463600,419.32,420.25,
1511467200,420.25,417.29,
1511470800,417.29,423.43,
1511474400,423.43,406.57,
1511478000,406.57,405.95,
1511481600,405.95,406.22,
1511485200,406.22,411.4,
1511488800,411.4,410.28,
1511492400,410.28,410.09,
1511496000,410.09,414.09,
1511499600,414.09,408.9,
1511503200,408.9,408.37,
1511506800,408.37,403.17,
1511510400,403.17,409.78,
1511514000,409.78,417.07,
1511517600,417.07,417.26,
1511521200,417.26,432.6,
1511524800,432.6,439.84,
1511528400,439.84,437.92,
1511532000,437.92,452.06,
1511535600,452.06,452.06,
1511539200,452.06,456.11,
1511542800,456.11,449.94,
1511546400,449.94,457.81,
1511550000,457.81,461.5,
1511553600,461.5,458.48,
1511557200,458.48,461.09,
1511560800,461.09,470.43,
1511564400,470.43,475,
1511568000,475,472.32,
1511571600,472.32,468.75,
1511575200,468.75,460.16,
1511578800,460.16,464.88,
1511582400,464.88,465.86,
1511586000,465.86,471.36,
1511589600,471.36,466.62,
1511593200,466.62,462.48,
1511596800,462.48,457.73,
1511600400,457.73,460.18,
1511604000,460.18,466.91,
1511607600,466.91,463.78,
1511611200,463.78,473.64,
1511614800,473.64,472.81,
1511618400,472.81,474.72,
1511622000,474.72,472.4,
1511625600,472.4,467.86,
1511629200,467.86,467.7,
1511632800,467.7,468.69,
1511636400,468.69,470.35,
1511640000,470.35,469.75,
1511643600,469.75,468.4,
1511647200,468.4,464.61,
1511650800,464.61,452.07,
1511654400,452.07,461.91,
1511658000,461.91,460.64,
1511661600,460.64,458.8,
1511665200,458.8,455.17,
1511668800,455.17,457.48,
1511672400,457.48,453.11,
1511676000,453.11,460.53,
1511679600,460.53,460.58,
1511683200,460.58,459,
1511686800,459,460.87,
1511690400,460.87,462.77,
1511694000,462.77,462.99,
1511697600,462.99,462.31,
1511701200,462.31,459.51,
1511704800,459.51,458.29,
1511708400,458.29,451.97,
1511712000,451.97,458.65,
1511715600,458.65,454.55,
1511719200,454.55,457.19,
1511722800,457.19,460.66,
1511726400,460.66,465.62,
1511730000,465.62,468.78,
1511733600,468.78,470.54,
1511737200,470.54,467.2,
1511740800,467.2,473,
1511744400,473,469.87,
1511748000,469.87,471.17,
1511751600,471.17,483.18,
1511755200,483.18,484.05,
1511758800,484.05,489.09,
1511762400,489.09,487.01,
1511766000,487.01,485.2,
1511769600,485.2,469.8,
1511773200,469.8,473.21,
1511776800,473.21,477.26,
1511780400,477.26,476.04,
1511784000,476.04,477.79,
1511787600,477.79,480.3,
1511791200,480.3,476.59,
1511794800,476.59,471.22,
1511798400,471.22,470.44,
1511802000,470.44,470.28,
1511805600,470.28,469.18,
1511809200,469.18,472.63,
1511812800,472.63,474.44,
1511816400,474.44,475.79,
1511820000,475.79,475.24,
1511823600,475.24,473.72,
1511827200,473.72,473.64,
1511830800,473.64,473.37,
1511834400,473.37,474.96,
1511838000,474.96,475.34,
1511841600,475.34,474.74,
1511845200,474.74,474.57,
1511848800,474.57,474.65,
1511852400,474.65,473.56,
1511856000,473.56,472.23,
1511859600,472.23,471.61,
1511863200,471.61,468.29,
1511866800,468.29,460.39,
1511870400,460.39,468.76,
1511874000,468.76,470.08,
1511877600,470.08,468.53,
1511881200,468.53,468.41,
1511884800,468.41,465.64,
1511888400,465.64,465.33,
1511892000,465.33,466.14,
1511895600,466.14,469.15,
1511899200,469.15,471.87,
1511902800,471.87,467.36,
1511906400,467.36,466.27,
1511910000,466.27,470.73,
1511913600,470.73,467.3,
1511917200,467.3,477.03,
1511920800,477.03,473.04,
1511924400,473.04,475.61,
1511928000,475.61,462.24,
1511931600,462.24,461.27,
1511935200,461.27,469.81,
1511938800,469.81,471.48,
1511942400,471.48,473.26,
1511946000,473.26,476.24,
1511949600,476.24,477.85,
1511953200,477.85,506.61,
1511956800,506.61,504.06,
1511960400,504.06,504.08,
1511964000,504.08,486.45,
1511967600,486.45,486.55,
1511971200,486.55,482.55,
1511974800,482.55,475.41,
1511978400,475.41,430.47,
1511982000,430.47,419.92,
1511985600,419.92,442.91,
1511989200,442.91,437.37,
1511992800,437.37,427.42,
1511996400,427.42,440.87,
1512000000,440.87,453.12,
1512003600,453.12,449.67,
1512007200,449.67,456.77,
1512010800,456.77,454.43,
1512014400,454.43,444.22,
1512018000,444.22,435.9,
1512021600,435.9,442.45,
1512025200,442.45,446.08,
1512028800,446.08,446.85,
1512032400,446.85,425.29,
1512036000,425.29,428.9,
1512039600,428.9,429.58,
1512043200,429.58,404.31,
1512046800,404.31,414.06,
1512050400,414.06,406.88,
1512054000,406.88,412.09,
1512057600,412.09,419.68,
1512061200,419.68,423.82,
1512064800,423.82,435.02,
1512068400,435.02,420.57,
1512072000,420.57,431.96,
1512075600,431.96,435.36,
1512079200,435.36,434.85,
1512082800,434.85,431.37,
1512086400,431.37,428.9,
1512090000,428.9,431.89,
1512093600,431.89,429.48,
1512097200,429.48,433.18,
1512100800,433.18,424.54,
1512104400,424.54,420.73,
1512108000,420.73,421.18,
1512111600,421.18,427.31,
1512115200,427.31,435.07,
1512118800,435.07,429.54,
1512122400,429.54,434.3,
1512126000,434.3,443.25,
1512129600,443.25,456.16,
1512133200,456.16,449.74,
1512136800,449.74,449.57,
1512140400,449.57,452.85,
1512144000,452.85,451.71,
1512147600,451.71,453.18,
1512151200,453.18,456.32,
1512154800,456.32,466.07,
1512158400,466.07,466.13,
1512162000,466.13,460.43,
1512165600,460.43,461.58,
1512169200,461.58,463.65,
1512172800,463.65,470.2,
1512176400,470.2,468.06,
1512180000,468.06,465.23,
1512183600,465.23,461.17,
1512187200,461.17,464.36,
1512190800,464.36,466.45,
1512194400,466.45,465.37,
1512198000,465.37,463.16,
1512201600,463.16,470.11,
1512205200,470.11,466.58,
1512208800,466.58,461.22,
1512212400,461.22,462.63,
1512216000,462.63,461.2,
1512219600,461.2,457.63,
1512223200,457.63,452.89,
1512226800,452.89,456.66,
1512230400,456.66,459.58,
1512234000,459.58,461.36,
1512237600,461.36,459.78,
1512241200,459.78,458.11,
1512244800,458.11,461.46,
1512248400,461.46,459.52,
1512252000,459.52,457.96,
1512255600,457.96,456.78,
1512259200,456.78,458.56,
1512262800,458.56,457.92,
1512266400,457.92,456.52,
1512270000,456.52,461.19,
1512273600,461.19,461.73,
1512277200,461.73,464.76,
1512280800,464.76,466.28,
1512284400,466.28,466.22,
1512288000,466.22,465.61,
1512291600,465.61,466.35,
1512295200,466.35,477.19,
1512298800,477.19,477.53,
1512302400,477.53,477.53,
1512306000,477.53,477,
1512309600,477,477.67,
1512313200,477.67,476,
1512316800,476,477.47,
1512320400,477.47,478.73,
1512324000,478.73,479.39,
1512327600,479.39,467.96,
1512331200,467.96,455.2,
1512334800,455.2,461.11,
1512338400,461.11,462.81,
1512342000,462.81,460.99,
1512345600,460.99,464.28,
1512349200,464.28,459.34,
1512352800,459.34,463.49,
1512356400,463.49,464.62,
1512360000,464.62,465.14,
1512363600,465.14,465.25,
1512367200,465.25,470.25,
1512370800,470.25,470.25,
1512374400,470.25,466.45,
1512378000,466.45,462.31,
1512381600,462.31,457.28,
1512385200,457.28,456.8,
1512388800,456.8,459.73,
1512392400,459.73,463.83,
1512396000,463.83,462.28,
1512399600,462.28,458.76,
1512403200,458.76,460.19,
1512406800,460.19,456.92,
1512410400,456.92,458.12,
1512414000,458.12,459.69,
